"","HPTS","H2PM","H3PM","HFTM","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","HL5","HALL","APTS","A2PM","A3PM","AFTM","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","AL5","AALL","W","DIFF"
"1355",93.6333333333333,0.493858013414171,0.330522374889516,0.737068637154886,9.02222222222222,30.1555555555556,19.4444444444444,7.58888888888889,13.6222222222222,4.74444444444444,19.6444444444444,2,-7,94.0786516853933,0.478858774714948,0.342536164983479,0.714577577357031,11.8539325842697,31.6292134831461,19.5393258426966,7.64044943820225,13.9550561797753,5.96629213483146,19.5056179775281,3,-4,"H",1
"1356",96.9101123595506,0.457058231541781,0.321737662448867,0.766974618919348,11.2584269662921,29.5393258426966,21.4719101123596,7.98876404494382,14.2921348314607,4.04494382022472,19.2247191011236,4,-50,108.879120879121,0.508869137762401,0.39371312602415,0.756905174301151,10.3626373626374,34.1208791208791,27.2197802197802,9.24175824175824,14.032967032967,5.98901098901099,19.7912087912088,5,60,"A",-13
"1357",101.325842696629,0.489510540376178,0.337816356254446,0.744388942490359,10.8089887640449,32.1123595505618,19.9325842696629,8.56179775280899,14.6179775280899,4.55056179775281,21.0674157303371,1,-6,105.322222222222,0.515411504209685,0.36165817057671,0.70221476964366,9.36666666666667,32.9,24.2222222222222,7.54444444444444,11.7222222222222,5.07777777777778,21.0222222222222,0,29,"H",14
"1358",100.337078651685,0.483553968583197,0.322335753457909,0.751758267260184,11.0224719101124,32.3258426966292,24.123595505618,8.35955056179775,13.4157303370787,3.59550561797753,21.0449438202247,3,-2,101.641304347826,0.503081303095461,0.374469161113077,0.773209248524927,8.6195652173913,31.5652173913043,25.5760869565217,9.15217391304348,13.4021739130435,4.6304347826087,17.554347826087,4,43,"H",13
"1359",99.6444444444444,0.468770659705211,0.351194504881573,0.76878264111941,11.3,34.0333333333333,21.3777777777778,6.23333333333333,13.0555555555556,5.71111111111111,18.1555555555556,2,21,94.0333333333333,0.449147302580367,0.313395595812526,0.742326881205061,9.83333333333333,33.6222222222222,20.0222222222222,6.07777777777778,10.9888888888889,5.37777777777778,17.9,3,-17,"H",5
"1360",103.611111111111,0.502448783984142,0.343108674993113,0.750051077591283,10.1888888888889,31.9444444444444,22.1666666666667,7.78888888888889,12.3777777777778,4.32222222222222,20.0333333333333,3,19,97.6333333333333,0.457238414931247,0.335100157939677,0.732213432070871,11.2,32.0555555555556,20.5333333333333,6.92222222222222,12.5555555555556,4.57777777777778,21.0888888888889,1,-45,"H",8
"1361",100.266666666667,0.471700296529835,0.324579423938438,0.725206365353313,12.1666666666667,32.0555555555556,21.6222222222222,7.75555555555556,13.7555555555556,4.5,22.3888888888889,2,-21,102.622222222222,0.500522970775745,0.336699817602707,0.710260040028164,11.5666666666667,31.7333333333333,21.9111111111111,9.38888888888889,15.6777777777778,4.94444444444444,21.6777777777778,3,27,"H",9
"1362",96.1538461538462,0.463574776861915,0.347608225345619,0.747336892784535,10.3296703296703,33.7582417582418,21.1098901098901,6.41758241758242,13.3626373626374,4.51648351648352,21.0549450549451,3,-4,97.1222222222222,0.457677812444878,0.321866503236472,0.766786012042466,11.3,29.5666666666667,21.4666666666667,7.94444444444444,14.2777777777778,4.01111111111111,19.2111111111111,4,-51,"H",4
"1363",96.4505494505494,0.477340597968024,0.324019932580459,0.772529455283985,10.3516483516484,31.7252747252747,21.3186813186813,8.40659340659341,12.9450549450549,4.20879120879121,19.2527472527473,1,24,101.824175824176,0.489814182639711,0.358707297495321,0.780634728610007,10.5604395604396,34.6703296703297,21.6043956043956,6.2967032967033,13.3076923076923,4.41758241758242,18.3736263736264,2,18,"H",1
"1364",91.7032967032967,0.450752771727037,0.344488901076177,0.762548705082081,10.7252747252747,29.8461538461538,20.8681318681319,6.92307692307692,13.5714285714286,4.71428571428571,21.4615384615385,1,-50,101.955555555556,0.503526052700924,0.360302839685902,0.732127662036341,10.8555555555556,31.8444444444444,22.2555555555556,7.15555555555556,13.5444444444444,4.11111111111111,18.3222222222222,5,31,"A",-6
